Title,year,Metascore,IMDB,link
Snow White and the Seven Dwarfs,1937,95,7.6,https://www.imdb.com/title/tt0029583/?ref_=ttls_li_tt
Pinocchio,1940,99,7.5,https://www.imdb.com/title/tt0032910/?ref_=ttls_li_tt
Fantasia,1940,96,7.8,https://www.imdb.com/title/tt0032455/?ref_=ttls_li_tt
Dumbo,1941,96,7.3,https://www.imdb.com/title/tt0033563/?ref_=ttls_li_tt
Bambi,1942,91,7.3,https://www.imdb.com/title/tt0034492/?ref_=ttls_li_tt
Victory Through Air Power,1943,,6.7,https://www.imdb.com/title/tt0036497/?ref_=ttls_li_tt
The Three Caballeros,1944,85,6.5,https://www.imdb.com/title/tt0038166/?ref_=ttls_li_tt
Make Mine Music,1946,60,6.4,https://www.imdb.com/title/tt0038718/?ref_=ttls_li_tt
Song of the South,1946,54,7.3,https://www.imdb.com/title/tt0038969/?ref_=ttls_li_tt
Fun & Fancy Free,1947,66,6.7,https://www.imdb.com/title/tt0039404/?ref_=ttls_li_tt
Melody Time,1948,69,6.5,https://www.imdb.com/title/tt0040580/?ref_=ttls_li_tt
The Adventures of Ichabod and Mr. Toad,1949,74,7.1,https://www.imdb.com/title/tt0041094/?ref_=ttls_li_tt
Cinderella,1950,85,7.3,https://www.imdb.com/title/tt0042332/?ref_=ttls_li_tt
Alice in Wonderland,1951,68,7.4,https://www.imdb.com/title/tt0043274/?ref_=ttls_li_tt
Peter Pan,1953,76,7.3,https://www.imdb.com/title/tt0046183/?ref_=ttls_li_tt
Lady and the Tramp,1955,78,7.3,https://www.imdb.com/title/tt0048280/?ref_=ttls_li_tt
Sleeping Beauty,1959,85,7.3,https://www.imdb.com/title/tt0053285/?ref_=ttls_li_tt
101 Dalmatians,1961,83,7.2,https://www.imdb.com/title/tt0055254/?ref_=ttls_li_tt
The Sword in the Stone,1963,61,7.2,https://www.imdb.com/title/tt0057546/?ref_=ttls_li_tt
The Jungle Book,1967,65,7.6,https://www.imdb.com/title/tt0061852/?ref_=ttls_li_tt
The Aristocats,1970,66,7.1,https://www.imdb.com/title/tt0065421/?ref_=ttls_li_tt
Robin Hood,1973,57,7.6,https://www.imdb.com/title/tt0070608/?ref_=ttls_li_tt
The Many Adventures of Winnie the Pooh,1977,,7.6,https://www.imdb.com/title/tt0076363/?ref_=ttls_li_tt
The Rescuers,1977,74,6.9,https://www.imdb.com/title/tt0076618/?ref_=ttls_li_tt
The Fox and the Hound,1981,65,7.3,https://www.imdb.com/title/tt0082406/?ref_=ttls_li_tt
The Black Cauldron,1985,59,6.5,https://www.imdb.com/title/tt0088814/?ref_=ttls_li_tt
The Great Mouse Detective,1986,73,7.2,https://www.imdb.com/title/tt0091149/?ref_=ttls_li_tt
Who Framed Roger Rabbit,1988,83,7.7,https://www.imdb.com/title/tt0096438/?ref_=ttls_li_tt
Oliver & Company,1988,58,6.7,https://www.imdb.com/title/tt0095776/?ref_=ttls_li_tt
The Little Mermaid,1989,88,7.6,https://www.imdb.com/title/tt0097757/?ref_=ttls_li_tt
DuckTales the Movie: Treasure of the Lost Lamp,1990,,6.9,https://www.imdb.com/title/tt0099472/?ref_=ttls_li_tt
The Rescuers Down Under,1990,70,6.9,https://www.imdb.com/title/tt0100477/?ref_=ttls_li_tt
Beauty and the Beast,1991,95,8,https://www.imdb.com/title/tt0101414/?ref_=ttls_li_tt
Aladdin,1992,86,8,https://www.imdb.com/title/tt0103639/?ref_=ttls_li_tt
The Nightmare Before Christmas,1993,82,8,https://www.imdb.com/title/tt0107688/?ref_=ttls_li_tt
The Lion King,1994,83,8.5,https://www.imdb.com/title/tt0110357/?ref_=ttls_li_tt
A Goofy Movie,1995,,6.8,https://www.imdb.com/title/tt0113198/?ref_=ttls_li_tt
Pocahontas (I),1995,58,6.7,https://www.imdb.com/title/tt0114148/?ref_=ttls_li_tt
Toy Story,1995,95,8.3,https://www.imdb.com/title/tt0114709/?ref_=ttls_li_tt
James and the Giant Peach,1996,,6.7,https://www.imdb.com/title/tt0116683/?ref_=ttls_li_tt
The Hunchback of Notre Dame,1996,74,6.9,https://www.imdb.com/title/tt0116583/?ref_=ttls_li_tt
Hercules,1997,74,7.3,https://www.imdb.com/title/tt0119282/?ref_=ttls_li_tt
Mulan,1998,71,7.6,https://www.imdb.com/title/tt0120762/?ref_=ttls_li_tt
A Bug's Life,1998,77,7.2,https://www.imdb.com/title/tt0120623/?ref_=ttls_li_tt
Doug's 1st Movie,1999,,5,https://www.imdb.com/title/tt0187819/?ref_=ttls_li_tt
Tarzan,1999,79,7.3,https://www.imdb.com/title/tt0120855/?ref_=ttls_li_tt
Toy Story 2,1999,88,7.9,https://www.imdb.com/title/tt0120363/?ref_=ttls_li_tt
Fantasia 2000,1999,59,7.2,https://www.imdb.com/title/tt0120910/?ref_=ttls_li_tt
The Tigger Movie,2000,53,6.3,https://www.imdb.com/title/tt0220099/?ref_=ttls_li_tt
Dinosaur,2000,56,6.5,https://www.imdb.com/title/tt0130623/?ref_=ttls_li_tt
The Emperor's New Groove,2000,70,7.4,https://www.imdb.com/title/tt0120917/?ref_=ttls_li_tt
Recess: School's Out,2001,43,6.6,https://www.imdb.com/title/tt0265632/?ref_=ttls_li_tt
Atlantis: The Lost Empire,2001,52,6.9,https://www.imdb.com/title/tt0230011/?ref_=ttls_li_tt
"Monsters, Inc.",2001,78,8.1,https://www.imdb.com/title/tt0198781/?ref_=ttls_li_tt
Peter Pan 2: Return to Never Land,2002,49,5.8,https://www.imdb.com/title/tt0280030/?ref_=ttls_li_tt
Lilo & Stitch,2002,73,7.2,https://www.imdb.com/title/tt0275847/?ref_=ttls_li_tt
Spirited Away,2001,96,8.6,https://www.imdb.com/title/tt0245429/?ref_=ttls_li_tt
Treasure Planet,2002,60,7.2,https://www.imdb.com/title/tt0133240/?ref_=ttls_li_tt
The Jungle Book 2: Mowgli's Reunion,2003,38,5.4,https://www.imdb.com/title/tt0283426/?ref_=ttls_li_tt
Piglet's Big Movie,2003,62,6.1,https://www.imdb.com/title/tt0323642/?ref_=ttls_li_tt
Brother Bear,2003,48,6.8,https://www.imdb.com/title/tt0328880/?ref_=ttls_li_tt
Home on the Range,2004,50,5.4,https://www.imdb.com/title/tt0299172/?ref_=ttls_li_tt
The Incredibles,2004,90,8,https://www.imdb.com/title/tt0317705/?ref_=ttls_li_tt
Pooh's Heffalump Movie,2005,64,6.4,https://www.imdb.com/title/tt0407121/?ref_=ttls_li_tt
Howl's Moving Castle,2004,80,8.2,https://www.imdb.com/title/tt0347149/?ref_=ttls_li_tt
Valiant,2005,45,5.6,https://www.imdb.com/title/tt0361089/?ref_=ttls_li_tt
Chicken Little,2005,48,5.8,https://www.imdb.com/title/tt0371606/?ref_=ttls_li_tt
Bambi II (2006,,,6.2,https://www.imdb.com/title/tt0447854/?ref_=ttls_li_tt
The Wild,2006,47,5.3,https://www.imdb.com/title/tt0405469/?ref_=ttls_li_tt
Cars,2006,73,7.1,https://www.imdb.com/title/tt0317219/?ref_=ttls_li_tt
Meet the Robinsons,2007,61,6.9,https://www.imdb.com/title/tt0396555/?ref_=ttls_li_tt
Ratatouille,2007,96,8,https://www.imdb.com/title/tt0382932/?ref_=ttls_li_tt
WALLÂ·E,2008,95,8.4,https://www.imdb.com/title/tt0910970/?ref_=ttls_li_tt
Tinker Bell (2008,,,6.9,https://www.imdb.com/title/tt0823671/?ref_=ttls_li_tt
Roadside Romeo,2008,,5.3,https://www.imdb.com/title/tt1050739/?ref_=ttls_li_tt
Bolt,2008,67,6.9,https://www.imdb.com/title/tt0397892/?ref_=ttls_li_tt
Up,2009,88,8.2,https://www.imdb.com/title/tt1049413/?ref_=ttls_li_tt
Ponyo,2008,86,7.7,https://www.imdb.com/title/tt0876563/?ref_=ttls_li_tt
Tinker Bell and the Lost Treasure (2009,,,6.8,https://www.imdb.com/title/tt1216516/?ref_=ttls_li_tt
A Christmas Carol,2009,55,6.8,https://www.imdb.com/title/tt1067106/?ref_=ttls_li_tt
The Princess and the Frog,2009,73,7.1,https://www.imdb.com/title/tt0780521/?ref_=ttls_li_tt
Toy Story 3,2010,92,8.3,https://www.imdb.com/title/tt0435761/?ref_=ttls_li_tt
Tales from Earthsea,2006,47,6.5,https://www.imdb.com/title/tt0495596/?ref_=ttls_li_tt
Tangled,2010,71,7.8,https://www.imdb.com/title/tt0398286/?ref_=ttls_li_tt
Gnomeo & Juliet,2011,53,6,https://www.imdb.com/title/tt0377981/?ref_=ttls_li_tt
Mars Needs Moms,2011,49,5.4,https://www.imdb.com/title/tt1305591/?ref_=ttls_li_tt
Cars 2,2011,57,6.2,https://www.imdb.com/title/tt1216475/?ref_=ttls_li_tt
Winnie the Pooh,2011,74,7.2,https://www.imdb.com/title/tt1449283/?ref_=ttls_li_tt
Arrietty,2010,80,7.6,https://www.imdb.com/title/tt1568921/?ref_=ttls_li_tt
Arjun: The Warrior Prince,2012,,6.9,https://www.imdb.com/title/tt2404027/?ref_=ttls_li_tt
Brave,2012,69,7.1,https://www.imdb.com/title/tt1217209/?ref_=ttls_li_tt
Secret of the Wings,2012,,7.2,https://www.imdb.com/title/tt1217213/?ref_=ttls_li_tt
Frankenweenie,2012,74,7,https://www.imdb.com/title/tt1142977/?ref_=ttls_li_tt
Wreck-It Ralph,2012,72,7.7,https://www.imdb.com/title/tt1772341/?ref_=ttls_li_tt
Monsters University,2013,65,7.3,https://www.imdb.com/title/tt1453405/?ref_=ttls_li_tt
Planes,2013,39,5.7,https://www.imdb.com/title/tt1691917/?ref_=ttls_li_tt
Frozen (I),2013,74,7.5,https://www.imdb.com/title/tt2294629/?ref_=ttls_li_tt
The Pirate Fairy (2014,,51,6.7,https://www.imdb.com/title/tt2483260/?ref_=ttls_li_tt
The Wind Rises,2013,83,7.8,https://www.imdb.com/title/tt2013293/?ref_=ttls_li_tt
Planes: Fire & Rescue,2014,48,6,https://www.imdb.com/title/tt2980706/?ref_=ttls_li_tt