ASINMasterId,ASIN,Product_Description
272,B002RZ1SOS,"Tostitos Bite Size Rounds Tortilla Chips, 13 Ounce"
273,B002RZ1SRU,"Tostitos Hint of Lime Flavored Tortilla Chips, 13 Ounce"
274,B002RZ1SU2,"Tostitos Original Restaurant Style Tortilla Chips, 13 Ounce (Packaging May Vary)"
275,B002RZ22OI,"Fritos Corn Chips, Honey BBQ Twists, 10.25 oz"
276,B002RZ3T68,"Doritos Tortilla Chips, Nacho Cheese, 11 oz"
277,B002RZ3TBS,"Fritos Corn Chips, Scoops, 10.25 oz."
278,B0037YQ2ZS,Quaker Instant Oatmeal Weight Control Variety Pack - 12.6 oz
279,B003KFKZAW,"Sobe Elixir, Green Tea with Ginsing and Echinacea, 20oz Bottle"
280,B003KFL0D8,"Mountain Dew, 8ct, 12oz Bottle"
281,B003KFOMBA,"Sobe Lifewater B-Energy Strawberry Apricot, Zero Calorie, 20oz"
282,B003KFON1Y,"Sobe Power Fruit Punch, 20oz Bottle"
283,B003KFONVO,"Diet Pepsi, 8ct, 12oz Bottle"
284,B003KFQO52,"Sobe Life Water, Strawberry Dragon Fruit Zero Calorie, 20oz"
285,B003KFQODE,"Starbucks Frappuccino Vanilla Light, 4ct, 9.5oz"
286,B003KFQQOG,"Pepsi, 8ct, 12oz Bottle"
287,B003QAF7X6,"Naked Juice Orange Juice, 15.2 oz"
288,B003QAF8LM,"Naked Juice, Orange Mango, 15.2 oz"
289,B003QAFAH4,"Naked Juice, Berry Vegge Machine, 15.2 oz"
290,B003QAFB8M,"Naked Juice, Mango Protein Zone, 15.2 oz"
291,B003QAFDTY,"Naked Juice, Berry Blast, 64 oz"
292,B003QAFENO,"Naked Juice Orange Juice, 64 oz"
293,B003QAFF42,"Tropicana Pure Premium Orange Juice with Calcium + D, 59oz"
294,B003QAHBNK,"Naked Juice, Berry Blast, 15.2 oz"
295,B003QAHC7U,"Naked Juice, Orange Carrot, 15.2 oz"
296,B003QAHCSE,"Naked Juice Pomegranate Acai,  15.2 oz"
297,B003QAHD1K,"Naked Juice, Power-C Machine,  15.2 oz"
298,B003QAHDFG,"Naked Juice, Red Machine, 15.2 oz"
299,B003QAHDPG,"Naked Juice Acai Machine, 15.2 oz"
300,B003QAHED2,"Naked Juice Double Berry Protein Zone, 15.2 oz"
301,B003QAHEYQ,"Naked Pineapple Mango in Coconut Water, 15.2 oz."
302,B003QAHFBS,"Naked Juice Peach Guava with Coconut Water, 15.2 oz"
303,B003QAHG4O,"Naked Juice, Green Machine, 32 oz"
304,B003QAHGOE,"Naked Juice Protein Zone, 32 oz"
305,B003QAHH5W,"Naked Juice, Blue Machine, 64 oz"
306,B003QAHJ8M,"Tropicana, Orange Juice, No Pulp, 12 oz"
307,B003QAHJHS,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 12 oz"
308,B003QAJ61U,"Naked Juice, Mighty Mango, 32 oz"
309,B003QAJ77S,"Naked Juice, Green Machine, 64 oz"
310,B003QAMOSW,"Naked Juice, Mighty Mango, 64 oz"
311,B003QB16L2,"Pepsi Soda, 12 Ounce (24 Cans)"
312,B003QB17X4,"Pepsi Diet Soda, 12 Ounce (24 Cans)"
313,B003QB193W,"Caffeine Free Diet Pepsi, 24ct, 12 oz Cans"
314,B003QB1A72,"Mountain Dew Soda, 12 Ounce (24 Cans)"
315,B003T2OLGU,"Tropicana Juice, Tangerine-Orange, 59 oz"
316,B003T2VM1M,"Tropicana Pure Premium Orange Juice, Lots of Pulp, Calcium + Vitamin D, 59 oz"
317,B003UDCE1C,"Tropicana, Ruby Red Grapefruit Juice, 59 oz"
318,B003UDEJ3I,"Tropicana, Orange Juice, Grovestand Lots of Pulp, 59 oz"
319,B003V0OKX4,"Mountain Dew Throwback, 12ct, 12oz Cans"
320,B0040HJHJO,"Starbucks Frappuccino, Vanilla, 13.7 oz"
321,B0040Q10Q8,"Aquafina Purified Drinking Water, 96 Fl Oz"
322,B0041H79PW,"Sierra Mist Natural, 12pk, 12oz Cans"
323,B0041HC5Q0,"Sierra Mist Natural, 2 Liter"
324,B0041LYIBQ,"Quaker Instant Oatmeal, Cinnamon and Spice, 10 ct"
325,B0041M086Y,"Tropicana, Orange Juice, Homestyle, Some Pulp, 89 oz"
326,B0041M3PSM,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 89 oz"
327,B0041M5UNK,"Tropicana, Orange Juice, No Pulp, 89 oz"
328,B0041M5V4S,"Tropicana, Orange Juice, Grovestand Lots of Pulp, 89 oz"
329,B0044MYSUI,"Starbucks Doubleshot Energy, Coffee, 15 oz"
330,B004C1L59S,"Quaker Real Medleys Multigrain Fruit and Nut Bar, Apple Nut Harvest, 6.7 Ounce"
331,B004C6W8BC,"Tropicana, Trop50 Pomegranate Blueberry, 59 oz"
332,B004VM9BRQ,"Stacy's Everything Flavored Bagel Chips, 7 Ounce Bag"
333,B004Z0W7ES,"Tropicana, Trop50 Orange Juice, Calcium and Vitamin D, 59 oz"
334,B005H12NJS,"Quaker Cinnamon Life Cereal, 13 oz"
335,B0078DT828,"Naked Juice Coconut Water, Mango Peach, 11.2 oz"
336,B007FGWS34,"Frito Lay Flavor Variety Pack, 32 oz"
337,B007ND8TN2,"Pepsi Next, 12pk, 12 oz"
338,B007ND8U3G,"Pepsi Next, 2 ltr"
339,B007UA9JLO,"Naked Juice, Strawberry Banana, 64 oz"
340,B008B36XRM,"Lay's Potato Chips, Dill Pickle, 9.5 oz"
341,B008B36ZYS,"Lay's Potato Chips, Lightly Salted, 9.5 oz"
342,B008B372YA,"Lay's Kettle Cooked Potato Chips, Jalapeno, 8.5 oz"
343,B008B3731M,"Lay's Kettle Cooked Potato Chips, Maui Onion, 8.5 oz"
344,B008B375YM,"Lay's Kettle Cooked Potato Chips, Applewood Smoked BBQ, 8 oz"
345,B008B378OE,"Lay's Kettle Cooked Potato Chips, Sea Salt & Cracked Pepper, 8.5 oz"
346,B008B37AW4,"Tostitos Artisan, Toasted Southwestern Spices, 9.75 oz"
347,B008B37D26,"Tostitos Artisan, Roasted Garlic and Black Bean, 9.75 oz"
348,B008B37EZW,"Tostitos Artisan, Baked Three Cheese Queso, 9.75 oz"
349,B008Z840UU,"Lays Kettle Reduced Fat Original, 8.5 oz"
350,B008ZX8STY,"Funyuns Onion Flavored Rings, 6 Ounce"
351,B0096DD6BC,"Stacy's Simply Naked Party Size Pita Chips, 18 Ounce"
352,B00A96KEGK,"Naked Juice, Probiotic Machine Tropical Mango, 15.2 oz"
353,B00BIWS6GE,"Gatorade Thirst Quencher, Lemon Lime, 64 oz"
354,B00BIWS6J6,"Gatorade Thirst Quencher, Fruit Punch, 64 oz"
355,B00BIWS9LQ,"Gatorade Energy Drink, Orange, 64 oz"
356,B00BIWSAAG,"Gatorade Thirst Quencher, Frost Glacier Freeze, 64 oz"
357,B00BIWSCVI,"Pepsi Slim, 8ct, 7.5oz Cans"
358,B00BIWSCW2,"Diet Pepsi Slim, 8 ct, 7.5oz Cans"
359,B00BIWSFSS,"Sierra Mist Lemon Lime Slim, 8ct 7.5oz Cans"
360,B00BIWSFZ6,"Pepsi Diet Mountain Dew, 144 oz"
361,B00BIWSG28,"Pepsi Zero Sugar, 8 ct, 7.5oz Cans"
362,B00BIWSG46,"Mountain Dew Slim, 8 ct, 7.5oz Cans"
363,B00BIWSIGC,"Pepsi Zero Sugar, 6 ct, 12 oz Bottles"
364,B00BIWSIIU,"Pepsi Sierra Mist Lemon Lime, 144 oz"
365,B00BIWSIJE,"Aquafina Water, 6 Pack, 24 oz"
366,B00BW0D0ZY,"Naked Juice, Protein Zone Banana Chocolate, 15.2 oz"
367,B00CJ8IV8O,"Aunt Jemima Complete Pancake Mix, 32 oz"
368,B00CJT36D8,"Tropicana, Trop50 Orange Juice, No Pulp, 59 oz"
369,B00CJT36GU,"Tropicana, Orange Juice, Homestyle, Some Pulp, 59 oz"
370,B00CJT36JW,"Tropicana, Orange Juice, No Pulp, 59 oz"
371,B00CJT38BI,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 59 oz"
372,B00CLN84VQ,"Naked Juice, Power Garden Tomato Kick, 15.2 oz"
373,B00CNVJKCI,"Tazo Iced Black Tea, 13.8 Fl Oz"
374,B00CNZTI4Y,"Doritos Dinamita, Nacho Picoso, 9.25 oz"
375,B00CNZTI6C,"Doritos Dinamita Chile LimÃ³n Rolled Flavored Tortilla Chips, 9.25 Ounce"
376,B00CNZTMVS,"Lay's Potato Chips, Wavy Original, 13.75 oz"
377,B00CNZTOSY,"Lay's Potato Chips, Limon, 9.5 oz"
378,B00CNZTVDW,"Ruffles Sour Cream & Onion Flavored Potato Chips, 8.5 Ounce"
379,B00CNZTWYA,"Lay's Potato Chips, Wavy Ranch, 9.5 oz"
380,B00CO20XRM,"Quaker Instant Oatmeal Weight Control, Flavor Variety Pack, 12.6 oz"
381,B00CO210SI,"Quaker Oatmeal Cereal, Organic Regular, 7.9 Oz"
382,B00CP774P0,"Crush Orange Soda, 12 fl oz, 12 count"
383,B00CP776VW,"Pepsi Mexican, 12 oz"
384,B00CP7772A,"Pepsi Mexican (Full Case), 288 oz"
385,B00CP77LDK,"Pure Leaf, Unsweet Tea, 18.5 oz (1 Pack of 6 bottles)"
386,B00CP77LHG,"Pure Leaf, Sweet Tea with Lemon, 18.5 oz (Pack of 6)"
387,B00CP77LYO,"Pure Leaf Iced Tea, Sweet Tea, Black Tea, 18.5 oz (Pack of 6)"
388,B00CP77OF0,"Pure Leaf Iced Tea, Sweet Tea, Black Tea, 18.5 oz"
389,B00CP77OIW,"Pure Leaf Iced Tea, Not Too Sweet Green Tea with Honey, 18.5 oz"
390,B00CP77OK0,"Pure Leaf Iced Tea, Sweetened Lemon Flavor Black Tea, 18.5 oz"
391,B00CP77OM8,"Lipton Not Too Sweet Peach Tea, 18.5 oz"
392,B00CP77OMS,"Pure Leaf Iced Tea, Raspberry Black Tea, 18.5 oz (Pack of 6)"
393,B00CP77QX0,"Pure Leaf Iced Tea, Unsweetened Black Tea, 18.5 oz"
394,B00DS4Q1IK,"Starbucks Doubleshot, Espresso + Cream, 6.5 Ounce, 12 Pack"
395,B00DVXZ9OA,"Tropicana Farmstand, Peach Mango, 46 oz"
396,B00ECN1WPI,"Lays Air Pops, Barbecue, 3 oz"
397,B00EIKGRQO,"Real Medleys Oatmeal, Blueberry Hazelnut, 2.46 Oz"
398,B00EMALYMW,"Quaker Instant Oatmeal Apple Cinnamon, Lower Sugar, 10 Count Box"
399,B00F6J6D1K,"Starbucks, Caffe Mocha, Iced Espresso, 1.5qt, 48oz"
400,B00F6JLPT0,"Starbucks, Vanilla Latte, Iced Espresso, 1.5qt, 48oz"
401,B00F6K1QAW,"Starbucks Discoveries, Caramel Macchiato, 48 fl oz."
402,B00FFJ3SPA,"Lays Potato Chips Garden Tomato and Basil, 9.5 oz"
403,B00FFJ3VIE,"Ruffles Oven Baked Cheddar & Sour Cream Flavored Potato Crisps, 6.25 Ounce"
404,B00FFJ4U5C,"Smartfood Kettle, 10.5 oz"
405,B00FLZ3IVC,"O.N.E. Coconut Water Splash, Pink Guava, 16.9 oz"
406,B00FTBC0X0,"O.N.E. Coconut Water Splash, Pineapple, 16.9 oz"
407,B00FTBJHVS,"O.N.E. Coconut Water Splash, Mango, 16.9 oz"
408,B00GAP19I6,"Quaker Life Cereal, 13 oz"
409,B00GAP1BB6,"Quaker Maple Brown Sugar Cereal, 13 oz"
410,B00GIHY244,"Quaker Oatmeal Quaker Steel Cut Oats, 24 oz"
411,B00GLL9YWC,"SunChips Original Multigrain Snacks, 7 Ounce"
412,B00GLL9Z76,"SunChips Garden Salsa Flavored Multigrain Snacks, 7 Ounce"
413,B00GLL9Z7Q,"SunChips Harvest Cheddar Flavored Multigrain Snacks, 7 Ounce"
414,B00GLLA2JQ,"SunChips French Onion Flavored Multigrain Snacks, 7 Ounce"
415,B00GQ1N3HO,"Starbucks Iced Coffee, Caramel, 11 oz"
416,B00GV46API,"Quaker Captain Crunch Cereal, 14 oz"
417,B00GV46AZI,"Captain Crunch, Peanut Butter Crunch Breakfast Cereal, 12.5 oz"
418,B00GV46H2O,"Quaker Captain Crunch Cereal, Crunchberries, 13 oz"
419,B00GYTMRVG,"Naked Juice Coconut Water, Pure, 1 ltr"
420,B00H1X2OS0,"Frito Lay Classic Variety Pack, 1 Ounce Bag, 32 Count"
421,B00HKGJOH2,"Naked Juice, Berry Blast, 32 oz"
422,B00HKGJOK4,"Naked Juice, Protein n Greens, 15.2 oz"
423,B00HKGJONQ,"Naked Juice, Kale Blazer, 15.2 oz"
424,B00HKGJQGQ,"Naked Juice, Strawberry Banana, 32 oz"
425,B00HKGQTU2,"Tropicana Twister, Apple Harvest Punch, 59 oz"
426,B00HRN4C3Y,"Pure Leaf Iced Tea, Unsweetened Black Tea, 59 oz"
427,B00HRN4CJI,"Pure Leaf Iced Tea, Sweet Tea, Black Tea, 59 oz"
428,B00HVL66YA,"Smartfood Delights Sea Salt, 5.5 oz"
429,B00HVL6R9E,"Starbucks Frappuccino, Caramel, 13.7 oz"
430,B00HVL6RQW,"Starbucks Frappuccino, Coffee, 13.7 oz"
431,B00HVLE7EG,"Lay's Kettle Cooked 40% Less Fat JalapeÃ±o Cheddar Flavored Potato Chips, 8 Ounce"
432,B00HVLE7L4,"Lays Kettle Reduced Fat Salt N Vinegar, 8.5 oz"
433,B00HZYBM9W,"Diet Pepsi Bottles (Aspartame Free) â€“ 8 Count, 12 Fl Oz Each"
434,B00HZYC69W,"Pure Leaf Iced Tea, Lemon, Sweetened, Real Brewed Tea, 18.5 Ounce Bottles (Pack of 6)"
435,B00HZYCFAW,"Mountain Dew Mini-Can (8 Count, 7.5 Fl Oz Each)"
436,B00HZYCIAY,"Pepsi Bottle (8 Count, 12 Fl Oz Each)"
437,B00HZYD35S,Starbucks Double Shot Espresso Light 6.5 Fl Oz (4 Count)
438,B00IAUSO4Q,"Quaker Instant Oatmeal Express Cup, Apples & Cinnamon, Breakfast Cereal"
439,B00ID0DQZU,"Fritos JalapeÃ±o Cheddar Cheese Dip, 9 Ounce"
440,B00IJIMYCW,"Real Medleys Cereal, Peach Apple, 15.5 Oz"
441,B00IOW3UHQ,"Tostitos Artisan Tortilla Chips, Baked Three Cheese Queso, 6 oz"
442,B00IOW3UV2,"Tostitos Artisan Tortilla Chips, Roasted Garlic and Black Bean, 6 oz"
443,B00J0B7EL8,"Quaker Instant Oatmeal, Raisin, Date & Walnut, Breakfast Cereal, 10 Packets"
444,B00J0KP4U2,"Cheetos Jalapeno Cheddar, 9 oz"
445,B00J0KPFJC,"Fritos Honey BBQ Twists, 9.75 Ounce"
446,B00J0KPPDI,"Cheetos Flamin Hot, 9 ounce"
447,B00J0KQOCE,"Fritos Chips, Chili Cheese, 9.75 oz"
448,B00J0KSBFC,"Fritos Scoops, 9.75 Ounce"
449,B00J0KTZ0W,"Cheetos Crunchy, 9 Oz"
450,B00J0KU9FC,"Cheetos Xtra Flamin Hot, 9 oz"
451,B00J0KV09G,"Fritos Snack, Original, 9.75 Oz"
452,B00J0KXLZC,"Cheetos Jumbo Puffs, 8.5 ounce"
453,B00JBYDTAE,"Doritos Nacho Cheese and Cool Ranch, Mini, 6.8 oz"
454,B00JLCJ7WU,"Lays Kettle Cooked Lattice Cut Chips, Roasted Garlic and Sea Salt, 7 oz"
455,B00JLCJ89M,"Lay's Kettle Cooked Lattice Cut Aged Cheddar & Black Pepper Flavored Potato Chips, 7 Ounce"
456,B00JUOM41U,"Lays Air Pops, Original, 3 oz"
457,B00JVGXBAU,"Grandma's Frosted Cookies, Red Velvet, 10.8 oz"
458,B00JVGXBCS,"Grandma's Frosted Cookies, Blueberry and White Chocolate, 10.8 oz"
459,B00K3118RA,"Tropicana, Trop50 Some Pulp Juice, Orange, 59 oz"
460,B00K3118VG,"Tropicana Farmstand, Pomegranate Blueberry, 46 oz"
461,B00K31191A,"Trop50, Raspberry Lemonade, 59 oz"
462,B00K311D4I,"Tropicana, Orange Juice, Some Pulp, 12 oz"
463,B00K311DD4,"Trop50, Orange Juice with Calcium + Vitamin D, No Pulp, 12 oz"
464,B00K311DFM,"Tropicana, Cranberry Juice Cocktail, 12 oz"
465,B00K311E1A,"Tropicana, Apple Juice, 12 oz"
466,B00K311IXO,"Tropicana Farmstand, Strawberry Banana, 12 oz"
467,B00K311J56,"Tropicana Farmstand, Pomegranate Blueberry, 12 oz"
468,B00KCDUHVM,"Rold Gold Thins, Parmesan & Garlic, 5 oz (Pack of 5)"
469,B00KGU7MZU,"Smartfood Delights White Cheddar, 6.5 oz"
470,B00LA63U2I,"Starbucks Doubleshot Energy, Mocha, 15 oz"
471,B00LFULCWY,"Pepsi Vanilla Made with Real Sugar Cans Pack, 12pk 12oz"
472,B00LK1HNZI,"Quaker Instant Oatmeal, Protein Banana Nut, 2.15 Oz"
473,B00LPELN74,"Stacy's Honey Dijon Flavored Pretzel Thins, 7 Ounce"
474,B00LPELOFU,"Stacy's Simply Naked Pretzel Thins, 7 Ounce"
475,B00M9X9DKE,"Munchies Snack Crackers Cheddar Cheese, 12.2 oz"
476,B00MIOATHK,"Starbucks Iced Coffee with Milk, 12 ct"
477,B00MIOATI4,"Starbucks Low Calorie Iced Coffee, 4 ct"
478,B00MIOATWU,"Starbucks Iced Coffee with Milk, 4 ct"
479,B00MIOB0LY,"Starbucks Refresher, Blueberry Acai, 12 oz"
480,B00MIOB7L2,"Pure Leaf Iced Tea, Diet Lemon, Black Tea, 18.5 oz"
481,B00MIWSNSY,"Starbucks Refresher, Strawberry Lemonade, 4 ct"
482,B00MTTFU00,"O.N.E. Coconut Water Splash, Vanilla Chai, 16.9 oz"
483,B00MZBRO2O,"Brisk Iced Tea, Mango, 24 oz"
484,B00MZBRO5Q,"Brisk Iced Tea and Lemonade, 24 oz"
485,B00MZBROL0,"Brisk Ice Tea, Raspberry , 24 oz"
486,B00MZHID0K,"Stacy's Multigrain Party Size Pita Chips, 18 Ounce"
487,B00N0X2IYK,"Lay's Potato Chip, Salt and Vinegar, 9.5 Ounce"
488,B00N953FFA,"Gatorade Thirst Quencher, Lemon Lime, 64 Ounce"
489,B00NCQPK7M,"Starbucks Unsweetened Iced Coffee, 48 oz"
490,B00NCTFH5Y,"Starbucks Lightly Sweetened Iced Coffee, 48 oz"
491,B00NGJDVVM,"Lay's Stax Chips, Limon, 5.5 oz"
492,B00NGJDVWG,"Lay's Stax Chile Limon Flavored Potato Crisps,5.5 Ounce"
493,B00NGJDX42,"Lay's Stax Buffalo Wings & Ranch Flavored Potato Crisps, 5.5 Ounce"
494,B00NGJDX6A,"Lay's Stax Bacon & Cheddar Flavored Potato Crisps, 5.5 Ounce"
495,B00NGJE0DU,"Lay's Stax Sour Cream & Onion Flavored Potato Crisps, 5.05 Ounce"
496,B00NGJE0S0,"Lay's Stax Mesquite Flavored Potato Crisps, 2 Ounce"
497,B00NGJE18E,"Lay's Stax Sour Cream & Onion Flavored Potato Crisps, 2 Ounce"
498,B00NGJE1DE,"Lay's Stax Original Potato Crisps, 2 Ounce"
499,B00NGJM2J4,"Lay's Stax All American Cheese Burger Flavored Potato Crisps, 5.5 Ounce"
500,B00NGJM2ZS,"Lay's Stax Pizza Flavored Potato Crisps, 5.5 Ounce"
501,B00NGJM35C,"Lay's Stax Chips, Hot 'n Spicy Barbecue, 5.5 oz"
502,B00NGJM3D4,"Lay's Stax Salt & Vinegar Flavored Potato Crisps, 5.5 Ounce"
503,B00NGJM4HY,"Lay's Stax Cheddar Flavored Potato Crisps, 5.5 Ounce"
504,B00NGJM7LM,"Lay's Stax Mesquite Barbecue Flavored Potato Crisps, 5.5 Ounce"
505,B00NQQOII0,"Starbucks Iced Coffee, Vanilla, 11 oz"
506,B00NQVNZ3E,"Starbucks Iced Coffee with Milk, 11 oz"
507,B00NQVNZCU,"Starbucks Low Calorie Iced Coffee, 11 oz"
508,B00OOWQGLW,"Grandma's Frosted Cookies, Red Velvet, 10.8 Ounce"
509,B00OPY1TJ8,"Real Medleys Quaker Summer Berry Oatmeal, 2.46 Ounce"
510,B00OPY1TW0,"Real Medleys Quaker Peach Almond Oatmeal, 2.64 oz"
511,B00OPY1TXE,"Quaker Real Medleys Oatmeal+, Apple Walnut, Instant Oatmeal+ Breakfast Cereal, 2.64oz Cup"
512,B00PTX8VRC,"Lays Wavy Chocolate, 5 oz"
513,B00R1J3WBM,"Lay's Kettle Cooked Potato Chips, Sea Salt and Vingar, 8.5 Ounce"
514,B00R1J40O0,"Lay's Kettle Cooked Potato Chips, Sea Salt and Cracked Pepper, 8.5 Ounce"
515,B00RFYD696,"Starbucks Double Shot Energy Drink, Vanilla"
516,B00RFYDFAG,"Sunchips Harvest Mini Bites, Four Cheese, Tomato & Herb Flavored Multigrain Snacks, 5 Ounce"
517,B00RFYEXES,"Grandma's Minis, Vanilla Cremes, 10 packs, 1.22 oz each"
518,B00RFYFCPM,"Grandma's Minis, Chocolate Chip, 10 packs, 1.22 oz each"
519,B00RFYFV80,"Grandma's Minis, Chocolate Cremes, 10 packs, 1.22 oz each"
520,B00TP3YN1K,"Lay's Kettle Cooked Maui Onion Flavored Potato Chips, 8 Ounce"
521,B00TP3YNH4,"Lay's Classic Potato Chips, 15.75 Ounce"
522,B00TP3YNQK,"Lays Potato Chips, Party Size Wavy Original, 15.75 Oz, 15.75 Oz"
523,B00TQFIKIY,"Lay's Kettle Cooked Sea Salt & Vinegar Flavored Potato Chips, 8 Ounce"
524,B00TQFIKSY,"Lay's Kettle Cooked Sea Salt & Cracked Pepper Flavored Potato Chips, 8 Ounce"
525,B00TQFITSK,"Lay's Potato Chips, Classic, 10.5 Oz, 10.5 Oz"
526,B00TQFITVW,"Lay's Potato Chips, Barbecue, 10 Oz"
527,B00TS9LWK6,"Lay's Salt & Vinegar Flavored Potato Chips, 7.75 Ounce"
528,B00TY3R4V2,"Lay's Cheddar & Sour Cream Flavored Potato Chips, 7.75 Ounce"
529,B00TZFTD4U,"Grandma's Frosted Cookies, Blueberry and White Chocolate, 10.8 oz"
530,B00TZFTIAE,"Grandma's Frosted Cinnamon Roll, 10.8 oz"
531,B00TZFTIE0,"Grandma's Frosted Lemon Pie, 10.8 oz"
532,B00TZFTIFO,"Grandma's Minis Vanilla Cremes, 10 Packs, 12.2 oz"
533,B00TZFTIMM,"Rold Gold Pretzel Cracker Sandwich, Fudge, 4.29 oz"
534,B00TZFTIMW,"Quaker Crispy Cookie, Chocolate Chip, 10.7 oz"
535,B00TZFTLK6,"Grandma's Big Cookie, Variety Pack, 12.5 oz"
536,B00TZFTLW4,"Quaker Crispy Cookie, Peanut Butter, 10.7 oz"
537,B00TZFTLY2,"Rold Gold Pretzel Cracker Sandwich, Cheddar, 3.98 oz"
538,B00TZFTLYC,"Grandma's Big Cookie, Peanut Butter, 12.5 oz"
539,B00TZFTM8C,"Quaker Oat and Yogurt Sandwich, Strawberry, 8 oz"
540,B00TZFTMHI,"Quaker Oat and Yogurt Sandwich, Vanilla, 8 oz"
