AmazonHierarchyId,Category,Category_Name,Brand_Name,Manufacturer_Id,Manufacturer_Name,ASIN,Product_Description,LastUpdatedUserId,IsDeleted,LineageID,Modified,Created
12,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B000PRODOM,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
31,32500800,800 Grocery,Gatorade,ASGR1,Unified Grocers,B000R32ORW,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
32,32500800,800 Grocery,Gatorade,ASGR1,Unified Grocers,B000R32OS6,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
33,32500800,800 Grocery,Gatorade,ASGR1,Unified Grocers,B000R36GS0,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
37,32500800,800 Grocery,Gatorade,ASGR1,Unified Grocers,B000R36GW6,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
88,32500800,,Frito Lay,FRIT1,,B000UEP4D4,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
90,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B000UEP4GQ,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
93,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B000UER7JI,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
161,32500800,800 Grocery,Near East,SUPR1,SuperValu,B00112H43M,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
164,32500800,800 Grocery,Near East,NACY7,Nature's Best,B0011CZNXU,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
172,32500800,800 Grocery,Quaker,SUPR1,SuperValu,B0014D01C4,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
183,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GMYFC,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
192,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GS1AY,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
196,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GTFVS,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
197,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GTGOY,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
202,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GTQNA,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
205,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GVJM6,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
206,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GVJMQ,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
208,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GVKHA,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
210,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B0015GVNCM,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
237,32500800,800 Grocery,Quaker,SUPR1,SuperValu,B001EJNE3Q,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
241,32500800,800 Grocery,O.N.E.,PEPSQ,PepsiCo Beverage CA,B001V6FTGM,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
247,32500800,,Frito Lay,FRIT1,,B002RZ1SC0,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
248,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B002RZ1SH0,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
249,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B002RZ1SIY,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
312,32500800,800 Grocery,Lays,FRIT1,Frito Lay,B008B36XRM,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
313,32500800,800 Grocery,Lays,FRIT1,Frito Lay,B008B36ZYS,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
314,32500800,800 Grocery,Lays,FRIT1,Frito Lay,B008B372YA,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
315,32500800,800 Grocery,Lays,FRIT1,Frito Lay,B008B3731M,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
317,32500800,800 Grocery,Lays,FRIT1,Frito Lay,B008B378OE,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
318,32500800,800 Grocery,Tostitos,FRIT1,Frito Lay,B008B37AW4,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
319,32500800,800 Grocery,Tostitos,FRIT1,Frito Lay,B008B37D26,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
320,32500800,800 Grocery,Tostitos,FRIT1,Frito Lay,B008B37EZW,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
321,32500800,800 Grocery,Lays,FRIT1,Frito Lay,B008Z840UU,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
344,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B00CNZTI4Y,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
346,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B00CNZTMVS,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
347,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B00CNZTOSY,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
349,32500800,800 Grocery,Frito Lay,FRIT1,Frito Lay,B00CNZTWYA,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
351,32500800,800 Grocery,Quaker,QTGAB,QTG Products,B00CO210SI,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
371,32500800,800 Grocery,Lays,FRIT1,Frito Lay,B00FFJ3SPA,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
410,32500800,800 Grocery,Tostitos,FRIT1,Frito Lay,B00IOW3UHQ,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
411,32500800,800 Grocery,Tostitos,FRIT1,Frito Lay,B00IOW3UV2,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
422,32500800,800 Grocery,Doritos,FRIT1,Frito Lay,B00JBYDTAE,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
444,32500800,800 Grocery,Munchies,FRIT1,Frito Lay,B00M9X9DKE,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
450,32500800,800 Grocery,Starbucks,PEQF9,Pepsi Bottling Group Seattle,B00MIWSNSY,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
452,32500800,800 Grocery,Brisk,PEQF9,Pepsi Bottling Group Seattle,B00MZBRO2O,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
470,32500800,800 Grocery,Lay's Stax,FRIKD,Frito Lay Products,B00NGJM35C,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
485,32500800,800 Grocery,Sunchips,FRIKD,Frito Lay Products,B00RFYDFAG,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
486,32500800,800 Grocery,Grandma's,FRIKD,Frito Lay Products,B00RFYEXES,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
487,32500800,800 Grocery,Grandma's,FRIKD,Frito Lay Products,B00RFYFCPM,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
488,32500800,800 Grocery,Grandma's,FRIKD,Frito Lay Products,B00RFYFV80,,OLPAPP,False,1,2015-11-23 21:50:52.170,2015-11-23 21:50:52.170
